elapsed_s	timestamp_ms	rss	cpu_percent
54008.0	1787676971778	12091392	0.0
54010.0	1787676973787	12091392	0.0
54012.0	1787676975787	12091392	0.0
54014.0	1787676977787	12091392	0.0
54016.0	1787676979786	12091392	0.0
54018.0	1787676981786	12091392	0.0
54020.0	1787676983788	12091392	0.0
54022.0	1787676985788	12091392	0.0
54024.0	1787676987788	12091392	0.0
54026.0	1787676989783	12091392	0.0
54028.0	1787676991787	12091392	0.0
54030.0	1787676993788	12091392	0.0
54032.0	1787676995782	12091392	0.0
54034.0	1787676997780	12091392	0.0
54036.0	1787676999788	12091392	0.0
54038.0	1787677001787	12091392	0.0
54040.0	1787677003788	12091392	0.0
54042.0	1787677005783	12091392	0.0
54044.0	1787677007788	12091392	0.0
54046.0	1787677009789	12091392	0.0
54048.0	1787677011789	12091392	0.0
54050.0	1787677013789	12091392	0.0
54052.0	1787677015789	12091392	0.0
54054.0	1787677017781	12091392	0.0
54056.0	1787677019785	12091392	0.0
54058.0	1787677021787	12091392	0.0
54060.0	1787677023788	12091392	0.0
54062.0	1787677025789	12091392	0.0
54064.0	1787677027789	12091392	0.0
54066.0	1787677029786	12091392	0.0
54068.0	1787677031789	12091392	0.0
54070.0	1787677033783	12091392	0.0
54072.0	1787677035786	12091392	0.0
54074.0	1787677037789	12091392	0.0
54076.0	1787677039788	12091392	0.0
54078.0	1787677041781	12091392	0.0
54080.0	1787677043782	12091392	0.0
54082.0	1787677045789	12091392	0.0
54084.0	1787677047784	12091392	0.0
54086.0	1787677049788	12091392	0.0
54088.0	1787677051781	12091392	0.0
54090.0	1787677053782	12091392	0.0
54092.0	1787677055784	12091392	0.0
54094.0	1787677057784	12091392	0.0
54096.0	1787677059789	12091392	0.0
54098.0	1787677061786	12091392	0.0
54100.0	1787677063782	12091392	0.0
54102.0	1787677065782	12091392	0.0
54104.0	1787677067781	12091392	0.0
54106.0	1787677069782	12091392	0.0
54108.0	1787677071782	12091392	0.0
54110.0	1787677073790	12091392	0.0
54112.0	1787677075788	12091392	0.0
54114.0	1787677077782	12091392	0.0
54116.0	1787677079784	12091392	0.0
54118.0	1787677081790	12091392	0.0
54120.0	1787677083782	12091392	0.0
54122.0	1787677085786	12091392	0.0
54124.0	1787677087790	12091392	0.0
54126.0	1787677089785	12091392	0.0
54128.0	1787677091782	12091392	0.0
54130.0	1787677093783	12091392	0.0
54132.0	1787677095782	12091392	0.0
54134.0	1787677097782	12091392	0.0
54136.0	1787677099790	12091392	0.0
54138.0	1787677101783	12091392	0.0
54140.0	1787677103786	12091392	0.0
54142.0	1787677105785	12091392	0.0
54144.0	1787677107785	12091392	0.0
54146.0	1787677109780	12091392	0.0
54148.0	1787677111790	12091392	0.0
54150.0	1787677113787	12091392	0.0
54152.0	1787677115785	12091392	0.0
54154.0	1787677117786	12091392	0.0
54156.0	1787677119783	12091392	0.0
54158.0	1787677121783	12091392	0.0
54160.0	1787677123783	12091392	0.0
54162.0	1787677125783	12091392	0.0
54164.0	1787677127783	12091392	0.0
54166.0	1787677129785	12091392	0.0
54168.0	1787677131787	12091392	0.0
54170.0	1787677133781	12091392	0.0
54172.0	1787677135783	12091392	0.0
54174.0	1787677137786	12091392	0.0
54176.0	1787677139790	12091392	0.0
54178.0	1787677141787	12091392	0.0
54180.0	1787677143790	12091392	0.0
54182.0	1787677145785	12091392	0.0
54184.0	1787677147786	12091392	0.0
54186.0	1787677149784	12091392	0.0
54188.0	1787677151786	12091392	0.0
54190.0	1787677153790	12091392	0.0
54192.0	1787677155786	12091392	0.0
54194.0	1787677157791	12091392	0.0
54196.0	1787677159789	12091392	0.0
54198.0	1787677161786	12091392	0.0
54200.0	1787677163784	12091392	0.0
54202.0	1787677165784	12091392	0.0
54204.0	1787677167788	12091392	0.0
54206.0	1787677169783	12091392	0.0
54208.0	1787677171788	12091392	0.0
54210.0	1787677173782	12091392	0.0
54212.0	1787677175791	12091392	0.0
